學校名稱,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他
淡江大學學校財團法人淡江大學,24534,1663,125,28,33,161,118,8,21,6,73,63,27,10,36,815,139
玄奘大學,2049,318,15,41,15,18,91,2,4,5,3,34,4,9,4,27,46
環球學校財團法人環球科技大學,2831,239,22,48,47,49,32,0,0,6,1,0,13,4,0,17,0
真理大學,5010,213,18,68,8,42,26,2,0,14,10,10,8,3,3,0,1
美和學校財團法人美和科技大學,5935,529,40,42,2,76,186,15,12,28,1,26,29,24,7,41,0
義守大學,13959,398,23,25,14,113,132,4,8,6,15,7,4,16,8,8,15
耕莘健康管理專科學校,4392,163,16,0,14,83,14,0,2,0,1,0,4,6,3,9,11
聖母醫護管理專科學校,1872,108,8,6,14,36,21,4,2,2,0,0,8,2,3,0,2
聖約翰科技大學,1838,185,5,6,16,13,74,1,2,22,1,18,3,5,2,6,11
育英醫護管理專科學校,1923,85,7,4,23,32,5,0,0,0,1,0,5,8,0,0,0
致理學校財團法人致理科技大學,11486,586,31,35,72,138,199,5,19,16,12,6,21,19,11,0,2
臺北基督學院,65,17,0,1,1,2,2,0,0,0,3,0,0,0,0,0,8
臺北市立大學,8114,729,45,32,19,51,277,14,59,6,38,99,10,26,28,3,22
臺北醫學大學,6137,471,21,10,2,172,78,4,19,0,16,59,11,50,5,0,24
華夏學校財團法人華夏科技大學,3500,429,19,21,6,61,101,6,4,32,3,6,12,8,4,129,17
華梵大學,1090,162,26,1,6,10,43,0,2,3,4,38,3,21,0,0,5
萬能學校財團法人萬能科技大學,9013,507,35,162,10,73,144,5,1,26,5,2,21,15,6,2,0
蘭陽技術學院,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
財團法人一貫道天皇基金會一貫道天皇學院,150,28,4,2,0,1,11,0,0,0,0,0,0,4,0,0,6
輔仁大學,25760,1634,166,28,16,412,529,13,82,10,85,219,16,5,5,17,31
輔英科技大學,9728,658,60,82,34,191,149,9,7,22,5,21,3,13,24,7,31
逢甲大學,21393,940,91,17,41,143,214,8,36,16,54,52,2,114,5,15,132
遠東科技大學,3757,385,13,27,26,44,176,5,3,36,3,5,12,8,3,1,23
醒吾學校財團法人醒吾科技大學,7517,805,46,97,150,170,215,10,5,19,21,0,39,15,9,0,9
銘傳大學,18970,983,95,18,99,53,243,5,12,16,50,67,22,11,3,9,280
長庚大學,6930,433,11,17,0,98,95,5,8,2,17,33,0,43,0,1,103
長庚學校財團法人長庚科技大學,6397,199,33,5,1,46,66,4,9,0,3,7,10,4,6,2,3
長榮大學,7849,324,26,22,0,70,63,4,7,12,8,15,59,11,15,12,0
開南大學,5108,377,35,37,15,52,149,5,11,24,6,8,2,6,4,0,23
靜宜大學,12173,585,52,33,95,104,138,8,10,2,23,42,27,15,22,12,2
馬偕學校財團法人馬偕醫學院,901,46,5,0,0,20,10,0,0,0,3,3,0,1,0,0,4
馬偕學校財團法人馬偕醫護管理專科學校,3997,108,6,7,14,52,13,3,1,1,2,0,7,2,0,0,0
高苑科技大學,3140,194,4,7,1,5,154,1,0,7,0,0,0,10,0,4,1
高雄醫學大學,6528,470,13,12,6,130,108,7,23,0,19,92,16,18,8,1,17
黎明技術學院,5254,380,18,52,21,64,136,0,0,23,1,0,29,6,1,9,20
龍華科技大學,12004,506,24,54,48,94,138,5,0,30,4,3,10,10,1,4,81
