學校名稱,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素,在學學生數,於學年底處於休學狀態之人數-總計,於學年底處於休學狀態之人數-因傷病,於學年底處於休學狀態之人數-因經濟困難,於學年底處於休學狀態之人數-因學業成績不佳,於學年底處於休學狀態之人數-因志趣不合,於學年底處於休學狀態之人數-因工作需求,於學年底處於休學狀態之人數-因懷孕,於學年底處於休學狀態之人數-因育嬰,於學年底處於休學狀態之人數-因兵役,於學年底處於休學狀態之人數-因出國,於學年底處於休學狀態之人數-因論文撰寫,於學年底處於休學狀態之人數-因適應不良,於學年底處於休學狀態之人數-因家人傷病,於學年底處於休學狀態之人數-因考試訓練,於學年底處於休學狀態之人數-因逾期未註冊、繳費、選課,於學年底處於休學狀態之人數-其他,學期間退學人數-小計,學期間退學人數-因成績不佳或曠課時數過多,學期間退學人數-因操行成績,學期間退學人數-因志趣不合,學期間退學人數-因逾期未註冊,學期間退學人數-因休學逾期未復學,學期間退學人數-因懷孕,學期間退學人數-因育嬰,學期間退學人數-因傷病,學期間退學人數-因工作需求,學期間退學人數-因經濟困難,學期間退學人數-因生涯規劃,學期間退學人數-其他(不含死亡)
銘傳大學,971,690,237,9,14,0,14,0,7,57387,1031,65,22,62,173,209,6,17,92,98,67,0,0,0,0,220,930,88,2,358,103,307,0,0,5,28,1,29,9
長庚大學,207,124,35,48,0,0,0,0,0,21561,498,11,17,0,77,99,1,11,1,33,25,0,3,2,0,218,400,48,0,78,30,177,0,0,0,7,2,20,38
長庚學校財團法人長庚科技大學,25,22,0,1,0,0,2,0,0,20136,192,15,5,0,26,51,5,18,1,8,0,4,3,1,0,55,129,4,0,43,3,53,0,0,3,8,0,4,11
長榮大學,352,342,7,2,1,0,0,0,0,29040,1215,62,239,0,279,263,17,23,76,7,38,28,1,0,0,182,702,0,0,318,325,0,0,0,3,34,12,0,10
開南大學,394,314,76,1,0,0,3,0,0,21990,540,25,64,49,53,179,7,10,83,19,3,0,5,3,0,40,849,86,0,236,248,247,1,1,0,12,2,8,8
靜宜大學,723,454,202,19,6,1,21,0,20,36867,636,39,20,107,61,153,6,4,28,19,22,3,1,3,0,170,653,42,0,294,56,203,0,0,4,26,0,10,18
馬偕學校財團法人馬偕醫學院,8,8,0,0,0,0,0,0,0,1998,34,0,0,0,10,0,0,0,0,0,0,0,0,0,0,24,19,0,0,7,1,8,0,0,0,0,0,0,3
馬偕學校財團法人馬偕醫護管理專科學校,96,92,4,0,0,0,0,0,0,13143,123,1,8,27,34,31,2,2,2,0,0,0,0,0,0,16,247,8,1,159,19,47,1,0,0,2,0,0,10
高美醫護管理專科學校,24,24,0,0,0,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高苑科技大學,195,194,0,0,0,0,1,0,0,16761,288,13,17,9,25,132,2,3,46,2,0,4,0,0,0,35,825,73,1,200,133,93,0,0,4,153,2,0,166
高雄醫學大學,106,82,2,21,0,0,0,0,1,20643,506,7,9,5,139,107,9,11,3,30,9,0,2,0,0,175,229,22,0,130,15,40,0,1,0,8,1,2,10
黎明技術學院,110,94,16,0,0,0,0,0,0,13728,1644,42,155,200,202,380,7,3,36,1,0,2,1,2,0,613,566,84,13,192,166,50,0,0,1,12,5,5,38
龍華科技大學,384,229,155,0,0,0,0,0,0,33258,703,25,60,81,146,242,8,0,93,10,10,2,4,0,0,22,1228,152,0,474,237,313,0,1,2,32,5,2,10
